epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.586,2.17101,2.78377,1.74784,0.00674,0.19424,0.00536,0.00175,3.15028,3.7483,2.8539,0.00032,0.00032,0.00032
2,83.1145,1.41462,1.29421,1.16717,0.84926,0.11206,0.16959,0.09526,2.47256,3.27049,1.86031,0.0006006,0.0006006,0.0006006
3,136.775,1.261,0.98043,1.06323,0.84421,0.45571,0.56273,0.34282,1.42796,2.0384,1.21332,0.00082,0.00082,0.00082
4,9101.37,1.19243,0.90601,1.03589,0.74436,0.22996,0.24006,0.1578,1.22151,1.21437,1.03911,0.0009782,0.0009782,0.0009782
5,21605.4,1.16934,0.87088,1.0187,0.7555,0.39168,0.40402,0.27516,1.13044,0.9399,1.01533,0.0010752,0.0010752,0.0010752
6,21692.3,1.11086,0.78557,1.00181,0.80506,0.44516,0.46183,0.30578,1.11971,0.81723,0.99026,0.0011,0.0011,0.0011
7,21783.4,1.10546,0.76162,0.99182,0.80628,0.3746,0.39226,0.26612,1.11322,0.76682,0.98876,0.00092,0.00092,0.00092
8,21873.8,1.09136,0.73127,0.98858,0.77771,0.35005,0.35801,0.25472,1.04061,0.71374,0.97177,0.00074,0.00074,0.00074
9,21993.4,1.06257,0.69667,0.97893,0.81093,0.39825,0.41319,0.28717,1.06821,0.69881,0.9729,0.00056,0.00056,0.00056
10,22113.4,1.06352,0.69161,0.97036,0.7783,0.22305,0.22582,0.15852,1.06437,0.7236,0.97435,0.00038,0.00038,0.00038
