epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1200.02,2.34099,2.81955,1.79159,0.00311,0.08965,0.00301,0.00075,3.36037,3.80736,3.06588,0.00032,0.00032,0.00032
2,2318.34,1.50215,1.29867,1.19114,0.00589,0.16969,0.01048,0.0052,3.39194,3.83728,2.86552,0.00064812,0.00064812,0.00064812
3,3307.02,1.29887,0.99092,1.07044,0.75183,0.34918,0.42139,0.23206,1.68792,2.54703,1.49845,0.000964,0.000964,0.000964
4,4270.94,1.21055,0.88317,1.03066,0.81504,0.75718,0.83463,0.5373,1.29629,1.17894,1.09475,0.00126764,0.00126764,0.00126764
5,5222.12,1.18459,0.83358,1.0203,0.81085,0.84639,0.88562,0.58509,1.17753,0.90972,1.01304,0.00155904,0.00155904,0.00155904
6,6177.08,1.16492,0.80698,1.01307,0.85659,0.86446,0.92805,0.62029,1.19811,0.79047,1.02468,0.00182,0.00182,0.00182
7,7125.85,1.15287,0.7905,1.00056,0.85763,0.89328,0.93768,0.64614,1.09588,0.78977,0.99049,0.001784,0.001784,0.001784
8,8051.77,1.10953,0.77136,0.99395,0.77964,0.91782,0.90385,0.61464,1.10837,1.08115,1.00881,0.001748,0.001748,0.001748
9,9008.89,1.12306,0.73216,0.99891,0.83805,0.91462,0.92052,0.63808,1.05712,1.02926,0.98753,0.001712,0.001712,0.001712
10,9978.74,1.11176,0.71188,0.99536,0.87668,0.8762,0.95039,0.65863,1.09944,0.7395,0.99217,0.001676,0.001676,0.001676
11,10924.5,1.08391,0.69815,0.98525,0.84193,0.91676,0.93706,0.65286,1.04681,0.72137,0.97941,0.00164,0.00164,0.00164
12,11892.5,1.09047,0.66642,0.98167,0.86695,0.90928,0.95462,0.67624,1.04879,0.67515,0.97852,0.001604,0.001604,0.001604
13,12823.8,1.07085,0.65776,0.97253,0.90015,0.92366,0.96692,0.69837,1.04035,0.63591,0.973,0.001568,0.001568,0.001568
14,13813.3,1.07699,0.67709,0.97717,0.88182,0.91996,0.96498,0.68444,1.04423,0.70176,0.97712,0.001532,0.001532,0.001532
15,14828.4,1.05331,0.64591,0.97048,0.90567,0.89114,0.96554,0.68212,1.06541,0.66938,0.97807,0.001496,0.001496,0.001496
16,15827.2,1.05636,0.62994,0.96118,0.88731,0.92102,0.96064,0.6816,1.06576,0.69945,0.98181,0.00146,0.00146,0.00146
17,16808.1,1.05588,0.61678,0.96519,0.88981,0.9381,0.97155,0.70239,1.02123,0.66731,0.96217,0.001424,0.001424,0.001424
18,17822.7,1.01872,0.6037,0.95966,0.90812,0.91035,0.96285,0.69876,1.02486,0.6146,0.96925,0.001388,0.001388,0.001388
19,18819.9,1.02429,0.59963,0.95873,0.8932,0.92956,0.96832,0.69594,1.02536,0.58132,0.96262,0.001352,0.001352,0.001352
20,19832.2,1.02024,0.59365,0.95908,0.87499,0.91249,0.96116,0.68198,1.05946,0.60357,0.97483,0.001316,0.001316,0.001316
21,20833.3,1.02327,0.58961,0.9581,0.88572,0.90983,0.9645,0.69381,1.05819,0.58442,0.96829,0.00128,0.00128,0.00128
22,21826.1,1.02165,0.57039,0.95473,0.87334,0.92636,0.96197,0.6856,1.04122,0.60774,0.97005,0.001244,0.001244,0.001244
23,22774.1,1.00547,0.56997,0.95465,0.86891,0.94081,0.96231,0.70456,1.00578,0.58843,0.95974,0.001208,0.001208,0.001208
24,23760.3,1.01537,0.56204,0.94949,0.89582,0.92529,0.96909,0.6973,1.00698,0.60763,0.96244,0.001172,0.001172,0.001172
25,24733.7,0.99234,0.56358,0.94612,0.89387,0.91676,0.96675,0.70665,1.02952,0.56546,0.97039,0.001136,0.001136,0.001136
26,25755.9,0.99936,0.56477,0.94431,0.929,0.91462,0.97638,0.7131,1.02049,0.54592,0.96131,0.0011,0.0011,0.0011
27,26744.3,0.97618,0.54352,0.93971,0.92462,0.90502,0.9711,0.71236,1.02145,0.54376,0.95443,0.001064,0.001064,0.001064
