epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.909,2.46256,3.32676,1.89379,0.01219,0.35112,0.026,0.01132,2.70442,3.55948,2.14387,0.00032,0.00032,0.00032
2,394.526,1.55478,1.70688,1.22083,0.93977,0.09992,0.33345,0.21172,1.45105,2.80222,1.18748,0.00064812,0.00064812,0.00064812
3,596.436,1.31418,1.08768,1.0827,0.94516,0.29427,0.65557,0.43044,1.30165,2.296,1.11134,0.000964,0.000964,0.000964
4,799.955,1.23028,0.94698,1.03928,0.85499,0.74881,0.86741,0.57996,1.26036,1.56228,1.05993,0.00126764,0.00126764,0.00126764
5,1003.66,1.18865,0.88474,1.01916,0.873,0.80697,0.89973,0.59439,1.1898,1.4139,1.02805,0.00155904,0.00155904,0.00155904
6,1207.44,1.16792,0.84442,1.01209,0.85727,0.8698,0.92124,0.61732,1.15154,0.89959,1.00558,0.00182,0.00182,0.00182
7,1411.56,1.14028,0.81421,0.99322,0.83463,0.87513,0.91171,0.59847,1.18025,0.88444,1.01809,0.001784,0.001784,0.001784
8,1616.06,1.13562,0.79217,0.9991,0.89316,0.89216,0.95686,0.65588,1.12079,0.77889,1.00193,0.001748,0.001748,0.001748
9,1823.35,1.1197,0.74446,0.99368,0.86979,0.88581,0.9381,0.6645,1.05903,0.7573,0.9833,0.001712,0.001712,0.001712
10,2031.46,1.11915,0.7364,0.99048,0.86333,0.89861,0.94445,0.65169,1.13578,0.75458,1.00145,0.001676,0.001676,0.001676
11,2237.73,1.1158,0.72498,0.99303,0.88654,0.89226,0.95688,0.67169,1.06937,0.70138,0.97681,0.00164,0.00164,0.00164
12,2440.34,1.11124,0.69085,0.98494,0.86687,0.89328,0.94373,0.66354,1.04957,0.70419,0.97589,0.001604,0.001604,0.001604
13,2647.16,1.08029,0.68598,0.97288,0.87287,0.88794,0.95009,0.67253,1.05742,0.72345,0.98454,0.001568,0.001568,0.001568
14,2850.13,1.07937,0.69265,0.97365,0.86703,0.91163,0.93943,0.65916,1.04205,0.77066,0.97481,0.001532,0.001532,0.001532
15,3053.62,1.0565,0.6417,0.96854,0.90127,0.89861,0.96276,0.69585,1.0368,0.63757,0.96569,0.001496,0.001496,0.001496
16,3262.12,1.06099,0.63557,0.95757,0.8793,0.89861,0.95346,0.6757,1.06134,0.70163,0.9895,0.00146,0.00146,0.00146
17,3466.72,1.07066,0.63472,0.9656,0.91185,0.89007,0.96455,0.69812,1.01147,0.6101,0.96072,0.001424,0.001424,0.001424
18,3676.45,1.02655,0.6182,0.95754,0.87189,0.91462,0.93464,0.66118,1.03565,0.69176,0.96888,0.001388,0.001388,0.001388
19,3884.31,1.03908,0.60979,0.96216,0.88222,0.91569,0.96156,0.67458,1.08012,0.63534,0.98017,0.001352,0.001352,0.001352
20,4092.94,1.03217,0.5987,0.96095,0.88102,0.92529,0.9588,0.68695,1.06286,0.60249,0.97272,0.001316,0.001316,0.001316
21,4300.98,1.02745,0.59898,0.95675,0.89013,0.91996,0.95728,0.68256,1.05857,0.64172,0.96938,0.00128,0.00128,0.00128
22,4509.33,1.02925,0.575,0.9532,0.89108,0.91035,0.96145,0.68255,1.05611,0.62735,0.97406,0.001244,0.001244,0.001244
23,4716.91,1.00974,0.58098,0.95308,0.86985,0.91782,0.95527,0.69107,1.01147,0.5911,0.96638,0.001208,0.001208,0.001208
24,4925.22,1.02096,0.57572,0.94883,0.90748,0.92209,0.97125,0.69975,1.01953,0.57085,0.96307,0.001172,0.001172,0.001172
25,5128.93,1.00384,0.57785,0.94815,0.87433,0.94298,0.96053,0.69975,1.03345,0.57753,0.96144,0.001136,0.001136,0.001136
26,5336.12,1.00422,0.57123,0.94474,0.92567,0.90379,0.97095,0.71719,0.99252,0.5332,0.95161,0.0011,0.0011,0.0011
27,5540.11,0.98962,0.55266,0.94319,0.9077,0.91311,0.96845,0.71467,1.00866,0.5389,0.95877,0.001064,0.001064,0.001064
28,5745.64,0.98841,0.55651,0.94577,0.8979,0.9285,0.96953,0.7129,1.00095,0.54671,0.95713,0.001028,0.001028,0.001028
29,5951.01,1.01048,0.5687,0.9477,0.91017,0.90715,0.96488,0.69512,1.04307,0.57914,0.96641,0.000992,0.000992,0.000992
30,6156.23,0.96769,0.54187,0.94158,0.91251,0.91996,0.96964,0.72148,1.00365,0.5324,0.95883,0.000956,0.000956,0.000956
31,6363.22,0.97961,0.54387,0.94123,0.91285,0.89427,0.9621,0.70488,0.9984,0.57347,0.95487,0.00092,0.00092,0.00092
32,6570.73,0.96569,0.54423,0.93963,0.92317,0.91249,0.96661,0.71474,0.99799,0.54807,0.95555,0.000884,0.000884,0.000884
33,6782.71,0.98068,0.54747,0.94056,0.91306,0.93024,0.96841,0.7151,1.00004,0.53849,0.95339,0.000848,0.000848,0.000848
34,6991.08,0.96704,0.54486,0.93314,0.92138,0.92557,0.97122,0.71939,0.99892,0.52346,0.95932,0.000812,0.000812,0.000812
35,7203.74,0.97479,0.53118,0.93576,0.89487,0.91142,0.95651,0.68726,1.03401,0.59361,0.96766,0.000776,0.000776,0.000776
36,7411.73,0.97667,0.55139,0.93947,0.92243,0.91375,0.97134,0.72564,0.98066,0.51646,0.9494,0.00074,0.00074,0.00074
37,7621.62,0.96315,0.5216,0.93677,0.93652,0.89745,0.96627,0.71425,1.00636,0.52603,0.95832,0.000704,0.000704,0.000704
38,7830.93,0.95178,0.51859,0.93416,0.89878,0.91925,0.96185,0.71825,0.98549,0.54464,0.95168,0.000668,0.000668,0.000668
